space_id,name,space_type,parent_space_id,usage_type,property_type
building-b-f03-west,Floor 3 West Zone,HVAC Zone,building-b-f03,Tenant Area,
building-b-f03-west-r01,Room B-03-West-1,Room,building-b-f03-west,Office Room,
building-b-f03-west-r02,Room B-03-West-2,Room,building-b-f03-west,Office Room,
building-b-f04,Floor 4,Floor,building-b,Tenant Floor,
building-b-f04-east,Floor 4 East Zone,HVAC Zone,building-b-f04,Tenant Area,
building-b-f04-east-r01,Room B-04-East-1,Room,building-b-f04-east,Office Room,
building-b-f04-east-r02,Room B-04-East-2,Room,building-b-f04-east,Office Room,
building-b-f04-west,Floor 4 West Zone,HVAC Zone,building-b-f04,Tenant Area,
building-b-f04-west-r01,Room B-04-West-1,Room,building-b-f04-west,Office Room,
building-b-f04-west-r02,Room B-04-West-2,Room,building-b-f04-west,Office Room,
building-c,Building C,Building,,Hotel,Hotel
building-c-lobby,Building C Lobby,Room,building-c,Lobby,
building-c-plant-room,Building C Plant Room,Room,building-c,Plant Room,
building-c-f01,Floor 1,Floor,building-c,Guest Floor,
building-c-f01-east,Floor 1 East Zone,HVAC Zone,building-c-f01,Guest Area,
building-c-f01-east-r01,Room C-01-East-1,Room,building-c-f01-east,Guest Room,
building-c-f01-east-r02,Room C-01-East-2,Room,building-c-f01-east,Guest Room,
building-c-f01-west,Floor 1 West Zone,HVAC Zone,building-c-f01,Guest Area,
building-c-f01-west-r01,Room C-01-West-1,Room,building-c-f01-west,Guest Room,
building-c-f01-west-r02,Room C-01-West-2,Room,building-c-f01-west,Guest Room,
building-c-f02,Floor 2,Floor,building-c,Guest Floor,
building-c-f02-east,Floor 2 East Zone,HVAC Zone,building-c-f02,Guest Area,
building-c-f02-east-r01,Room C-02-East-1,Room,building-c-f02-east,Guest Room,
building-c-f02-east-r02,Room C-02-East-2,Room,building-c-f02-east,Guest Room,
building-c-f02-west,Floor 2 West Zone,HVAC Zone,building-c-f02,Guest Area,
building-c-f02-west-r01,Room C-02-West-1,Room,building-c-f02-west,Guest Room,
building-c-f02-west-r02,Room C-02-West-2,Room,building-c-f02-west,Guest Room,
building-c-f03,Floor 3,Floor,building-c,Guest Floor,
building-c-f03-east,Floor 3 East Zone,HVAC Zone,building-c-f03,Guest Area,
building-c-f03-east-r01,Room C-03-East-1,Room,building-c-f03-east,Guest Room,
building-c-f03-east-r02,Room C-03-East-2,Room,building-c-f03-east,Guest Room,
building-c-f03-west,Floor 3 West Zone,HVAC Zone,building-c-f03,Guest Area,
building-c-f03-west-r01,Room C-03-West-1,Room,building-c-f03-west,Guest Room,
building-c-f03-west-r02,Room C-03-West-2,Room,building-c-f03-west,Guest Room,
building-c-f04,Floor 4,Floor,building-c,Guest Floor,
building-c-f04-east,Floor 4 East Zone,HVAC Zone,building-c-f04,Guest Area,
building-c-f04-east-r01,Room C-04-East-1,Room,building-c-f04-east,Guest Room,
building-c-f04-east-r02,Room C-04-East-2,Room,building-c-f04-east,Guest Room,
building-c-f04-west,Floor 4 West Zone,HVAC Zone,building-c-f04,Guest Area,
building-c-f04-west-r01,Room C-04-West-1,Room,building-c-f04-west,Guest Room,
building-c-f04-west-r02,Room C-04-West-2,Room,building-c-f04-west,Guest Room,
