source_record_id,observed_at,equipment_id,run_status,alarm_status,supply_air_temperature_c,return_air_temperature_c,supply_air_temperature_setpoint_c
src-ahu-0001-011,2026-01-15T08:01:00Z,ahu-b-f02-west,ON,NORMAL,14.37,25.16,14.00
src-ahu-0001-012,2026-01-15T08:01:00Z,ahu-b-f03-east,ON,NORMAL,14.34,25.18,14.00
src-ahu-0001-013,2026-01-15T08:01:00Z,ahu-b-f03-west,ON,NORMAL,14.21,25.08,14.00
src-ahu-0001-014,2026-01-15T08:01:00Z,ahu-b-f04-east,ON,NORMAL,14.25,25.05,14.00
src-ahu-0001-015,2026-01-15T08:01:00Z,ahu-b-f04-west,ON,NORMAL,14.06,24.87,14.00
src-ahu-0001-016,2026-01-15T08:01:00Z,ahu-c-f01-east,ON,NORMAL,14.18,24.49,14.00
src-ahu-0001-017,2026-01-15T08:01:00Z,ahu-c-f01-west,ON,NORMAL,14.14,24.30,14.00
src-ahu-0001-018,2026-01-15T08:01:00Z,ahu-c-f02-east,ON,NORMAL,14.09,24.41,14.00
src-ahu-0001-019,2026-01-15T08:01:00Z,ahu-c-f02-west,ON,NORMAL,13.90,24.33,14.00
src-ahu-0001-020,2026-01-15T08:01:00Z,ahu-c-f03-east,ON,NORMAL,13.81,24.51,14.00
src-ahu-0001-021,2026-01-15T08:01:00Z,ahu-c-f03-west,ON,NORMAL,13.74,24.40,14.00
src-ahu-0001-022,2026-01-15T08:01:00Z,ahu-c-f04-east,ON,NORMAL,13.68,24.60,14.00
src-ahu-0001-023,2026-01-15T08:01:00Z,ahu-c-f04-west,ON,NORMAL,13.64,24.61,14.00
src-ahu-0002-000,2026-01-15T08:02:00Z,ahu-a-f01-east,ON,NORMAL,13.95,24.67,14.00
src-ahu-0002-001,2026-01-15T08:02:00Z,ahu-a-f01-west,ON,NORMAL,14.05,24.86,14.00
src-ahu-0002-002,2026-01-15T08:02:00Z,ahu-a-f02-east,ON,NORMAL,14.27,25.26,14.00
src-ahu-0002-003,2026-01-15T08:02:00Z,ahu-a-f02-west,ON,NORMAL,14.16,25.35,14.00
src-ahu-0002-004,2026-01-15T08:02:00Z,ahu-a-f03-east,ON,NORMAL,14.15,25.67,14.00
src-ahu-0002-005,2026-01-15T08:02:00Z,ahu-a-f03-west,ON,NORMAL,14.35,25.77,14.00
src-ahu-0002-006,2026-01-15T08:02:00Z,ahu-a-f04-east,ON,NORMAL,14.23,25.96,14.00
src-ahu-0002-007,2026-01-15T08:02:00Z,ahu-a-f04-west,ON,NORMAL,14.33,25.99,14.00
src-ahu-0002-008,2026-01-15T08:02:00Z,ahu-b-f01-east,ON,NORMAL,14.36,25.36,14.00
src-ahu-0002-009,2026-01-15T08:02:00Z,ahu-b-f01-west,ON,NORMAL,14.26,25.27,14.00
src-ahu-0002-010,2026-01-15T08:02:00Z,ahu-b-f02-east,ON,NORMAL,14.32,25.38,14.00
src-ahu-0002-011,2026-01-15T08:02:00Z,ahu-b-f02-west,ON,NORMAL,14.40,25.30,14.00
src-ahu-0002-012,2026-01-15T08:02:00Z,ahu-b-f03-east,ON,NORMAL,14.31,25.22,14.00
src-ahu-0002-013,2026-01-15T08:02:00Z,ahu-b-f03-west,ON,NORMAL,14.29,25.02,14.00
src-ahu-0002-014,2026-01-15T08:02:00Z,ahu-b-f04-east,ON,NORMAL,14.20,25.08,14.00
src-ahu-0002-015,2026-01-15T08:02:00Z,ahu-b-f04-west,ON,NORMAL,14.20,24.87,14.00
src-ahu-0002-016,2026-01-15T08:02:00Z,ahu-c-f01-east,ON,NORMAL,14.12,24.49,14.00
src-ahu-0002-017,2026-01-15T08:02:00Z,ahu-c-f01-west,ON,NORMAL,14.06,24.23,14.00
src-ahu-0002-018,2026-01-15T08:02:00Z,ahu-c-f02-east,ON,NORMAL,14.08,24.46,14.00
src-ahu-0002-019,2026-01-15T08:02:00Z,ahu-c-f02-west,ON,NORMAL,13.80,24.29,14.00
src-ahu-0002-020,2026-01-15T08:02:00Z,ahu-c-f03-east,ON,NORMAL,13.83,24.37,14.00
src-ahu-0002-021,2026-01-15T08:02:00Z,ahu-c-f03-west,ON,NORMAL,13.88,24.31,14.00
src-ahu-0002-022,2026-01-15T08:02:00Z,ahu-c-f04-east,ON,NORMAL,13.88,24.60,14.00
src-ahu-0002-023,2026-01-15T08:02:00Z,ahu-c-f04-west,ON,NORMAL,13.71,24.63,14.00
src-ahu-0003-000,2026-01-15T08:03:00Z,ahu-a-f01-east,ON,NORMAL,14.08,24.69,14.00
src-ahu-0003-001,2026-01-15T08:03:00Z,ahu-a-f01-west,ON,NORMAL,14.16,24.98,14.00
src-ahu-0003-002,2026-01-15T08:03:00Z,ahu-a-f02-east,ON,NORMAL,14.08,25.22,14.00
src-ahu-0003-003,2026-01-15T08:03:00Z,ahu-a-f02-west,ON,NORMAL,14.31,25.45,14.00
src-ahu-0003-004,2026-01-15T08:03:00Z,ahu-a-f03-east,ON,NORMAL,14.17,25.65,14.00
src-ahu-0003-005,2026-01-15T08:03:00Z,ahu-a-f03-west,ON,NORMAL,14.19,25.70,14.00
src-ahu-0003-006,2026-01-15T08:03:00Z,ahu-a-f04-east,ON,NORMAL,14.33,25.91,14.00
src-ahu-0003-007,2026-01-15T08:03:00Z,ahu-a-f04-west,ON,NORMAL,14.37,25.97,14.00
src-ahu-0003-008,2026-01-15T08:03:00Z,ahu-b-f01-east,ON,NORMAL,14.41,25.34,14.00
src-ahu-0003-009,2026-01-15T08:03:00Z,ahu-b-f01-west,ON,NORMAL,14.34,25.23,14.00
src-ahu-0003-010,2026-01-15T08:03:00Z,ahu-b-f02-east,ON,NORMAL,14.25,25.23,14.00
src-ahu-0003-011,2026-01-15T08:03:00Z,ahu-b-f02-west,ON,NORMAL,14.33,25.15,14.00
src-ahu-0003-012,2026-01-15T08:03:00Z,ahu-b-f03-east,ON,NORMAL,14.33,25.14,14.00
src-ahu-0003-013,2026-01-15T08:03:00Z,ahu-b-f03-west,ON,NORMAL,14.13,24.97,14.00
src-ahu-0003-014,2026-01-15T08:03:00Z,ahu-b-f04-east,ON,NORMAL,14.15,24.96,14.00
src-ahu-0003-015,2026-01-15T08:03:00Z,ahu-b-f04-west,ON,NORMAL,14.11,24.77,14.00
src-ahu-0003-016,2026-01-15T08:03:00Z,ahu-c-f01-east,ON,NORMAL,14.14,24.44,14.00
src-ahu-0003-017,2026-01-15T08:03:00Z,ahu-c-f01-west,ON,NORMAL,13.91,24.33,14.00
src-ahu-0003-018,2026-01-15T08:03:00Z,ahu-c-f02-east,ON,NORMAL,13.87,24.43,14.00
src-ahu-0003-019,2026-01-15T08:03:00Z,ahu-c-f02-west,ON,NORMAL,13.80,24.21,14.00
src-ahu-0003-020,2026-01-15T08:03:00Z,ahu-c-f03-east,ON,NORMAL,13.95,24.37,14.00
src-ahu-0003-021,2026-01-15T08:03:00Z,ahu-c-f03-west,ON,NORMAL,13.70,24.42,14.00
src-ahu-0003-022,2026-01-15T08:03:00Z,ahu-c-f04-east,ON,NORMAL,13.63,24.60,14.00
src-ahu-0003-023,2026-01-15T08:03:00Z,ahu-c-f04-west,ON,NORMAL,13.66,24.77,14.00
src-ahu-0004-000,2026-01-15T08:04:00Z,ahu-a-f01-east,ON,NORMAL,14.18,24.68,14.00
src-ahu-0004-001,2026-01-15T08:04:00Z,ahu-a-f01-west,ON,NORMAL,14.27,24.91,14.00
src-ahu-0004-002,2026-01-15T08:04:00Z,ahu-a-f02-east,ON,NORMAL,14.20,25.21,14.00
src-ahu-0004-003,2026-01-15T08:04:00Z,ahu-a-f02-west,ON,NORMAL,14.19,25.38,14.00
src-ahu-0004-004,2026-01-15T08:04:00Z,ahu-a-f03-east,ON,NORMAL,14.35,25.64,14.00
src-ahu-0004-005,2026-01-15T08:04:00Z,ahu-a-f03-west,ON,NORMAL,14.30,25.71,14.00
src-ahu-0004-006,2026-01-15T08:04:00Z,ahu-a-f04-east,ON,NORMAL,14.22,25.97,14.00
src-ahu-0004-007,2026-01-15T08:04:00Z,ahu-a-f04-west,ON,NORMAL,14.39,25.99,14.00
src-ahu-0004-008,2026-01-15T08:04:00Z,ahu-b-f01-east,ON,NORMAL,14.33,25.33,14.00
src-ahu-0004-009,2026-01-15T08:04:00Z,ahu-b-f01-west,ON,NORMAL,14.43,25.27,14.00
src-ahu-0004-010,2026-01-15T08:04:00Z,ahu-b-f02-east,ON,NORMAL,14.36,25.34,14.00
src-ahu-0004-011,2026-01-15T08:04:00Z,ahu-b-f02-west,ON,NORMAL,14.31,25.11,14.00
src-ahu-0004-012,2026-01-15T08:04:00Z,ahu-b-f03-east,ON,NORMAL,14.14,25.27,14.00
src-ahu-0004-013,2026-01-15T08:04:00Z,ahu-b-f03-west,ON,NORMAL,14.17,25.04,14.00
src-ahu-0004-014,2026-01-15T08:04:00Z,ahu-b-f04-east,ON,NORMAL,14.21,25.01,14.00
src-ahu-0004-015,2026-01-15T08:04:00Z,ahu-b-f04-west,ON,NORMAL,14.02,24.73,14.00
src-ahu-0004-016,2026-01-15T08:04:00Z,ahu-c-f01-east,ON,NORMAL,14.10,24.43,14.00
src-ahu-0004-017,2026-01-15T08:04:00Z,ahu-c-f01-west,ON,NORMAL,14.04,24.30,14.00
src-ahu-0004-018,2026-01-15T08:04:00Z,ahu-c-f02-east,ON,NORMAL,13.96,24.35,14.00
src-ahu-0004-019,2026-01-15T08:04:00Z,ahu-c-f02-west,ON,NORMAL,13.93,24.21,14.00
src-ahu-0004-020,2026-01-15T08:04:00Z,ahu-c-f03-east,ON,NORMAL,13.84,24.43,14.00
src-ahu-0004-021,2026-01-15T08:04:00Z,ahu-c-f03-west,ON,NORMAL,13.82,24.46,14.00
src-ahu-0004-022,2026-01-15T08:04:00Z,ahu-c-f04-east,ON,NORMAL,13.81,24.59,14.00
src-ahu-0004-023,2026-01-15T08:04:00Z,ahu-c-f04-west,ON,NORMAL,13.66,24.66,14.00
src-ahu-0005-000,2026-01-15T08:05:00Z,ahu-a-f01-east,ON,NORMAL,14.07,24.70,14.00
src-ahu-0005-001,2026-01-15T08:05:00Z,ahu-a-f01-west,ON,NORMAL,14.18,24.83,14.00
src-ahu-0005-002,2026-01-15T08:05:00Z,ahu-a-f02-east,ON,NORMAL,14.19,25.25,14.00
src-ahu-0005-003,2026-01-15T08:05:00Z,ahu-a-f02-west,ON,NORMAL,14.26,25.38,14.00
src-ahu-0005-004,2026-01-15T08:05:00Z,ahu-a-f03-east,ON,NORMAL,14.21,25.66,14.00
src-ahu-0005-005,2026-01-15T08:05:00Z,ahu-a-f03-west,ON,NORMAL,14.43,25.80,14.00
src-ahu-0005-006,2026-01-15T08:05:00Z,ahu-a-f04-east,ON,NORMAL,14.36,25.87,14.00
src-ahu-0005-007,2026-01-15T08:05:00Z,ahu-a-f04-west,ON,NORMAL,14.40,25.92,14.00
src-ahu-0005-008,2026-01-15T08:05:00Z,ahu-b-f01-east,ON,NORMAL,14.38,25.27,14.00
src-ahu-0005-009,2026-01-15T08:05:00Z,ahu-b-f01-west,ON,NORMAL,14.42,25.23,14.00
src-ahu-0005-010,2026-01-15T08:05:00Z,ahu-b-f02-east,ON,NORMAL,14.41,25.23,14.00
src-ahu-0005-011,2026-01-15T08:05:00Z,ahu-b-f02-west,ON,NORMAL,14.23,25.20,14.00
src-ahu-0005-012,2026-01-15T08:05:00Z,ahu-b-f03-east,ON,NORMAL,14.24,25.25,14.00
src-ahu-0005-013,2026-01-15T08:05:00Z,ahu-b-f03-west,ON,NORMAL,14.26,24.91,14.00
src-ahu-0005-014,2026-01-15T08:05:00Z,ahu-b-f04-east,ON,NORMAL,14.20,24.98,14.00
src-ahu-0005-015,2026-01-15T08:05:00Z,ahu-b-f04-west,ON,NORMAL,14.04,24.76,14.00
src-ahu-0005-016,2026-01-15T08:05:00Z,ahu-c-f01-east,ON,NORMAL,13.92,24.43,14.00
src-ahu-0005-017,2026-01-15T08:05:00Z,ahu-c-f01-west,ON,NORMAL,14.01,24.36,14.00
src-ahu-0005-018,2026-01-15T08:05:00Z,ahu-c-f02-east,ON,NORMAL,13.78,24.42,14.00
src-ahu-0005-019,2026-01-15T08:05:00Z,ahu-c-f02-west,ON,NORMAL,13.85,24.27,14.00
src-ahu-0005-020,2026-01-15T08:05:00Z,ahu-c-f03-east,ON,NORMAL,13.78,24.31,14.00
src-ahu-0005-021,2026-01-15T08:05:00Z,ahu-c-f03-west,ON,NORMAL,13.70,24.42,14.00
src-ahu-0005-022,2026-01-15T08:05:00Z,ahu-c-f04-east,ON,NORMAL,13.70,24.61,14.00
src-ahu-0005-023,2026-01-15T08:05:00Z,ahu-c-f04-west,ON,NORMAL,13.75,24.73,14.00
src-ahu-0006-000,2026-01-15T08:06:00Z,ahu-a-f01-east,ON,NORMAL,14.20,24.80,14.00
src-ahu-0006-001,2026-01-15T08:06:00Z,ahu-a-f01-west,ON,NORMAL,14.18,25.01,14.00
src-ahu-0006-002,2026-01-15T08:06:00Z,ahu-a-f02-east,ON,NORMAL,14.20,25.23,14.00
src-ahu-0006-003,2026-01-15T08:06:00Z,ahu-a-f02-west,ON,NORMAL,14.30,25.38,14.00
src-ahu-0006-004,2026-01-15T08:06:00Z,ahu-a-f03-east,ON,NORMAL,14.27,25.68,14.00
src-ahu-0006-005,2026-01-15T08:06:00Z,ahu-a-f03-west,ON,NORMAL,14.26,25.83,14.00
src-ahu-0006-006,2026-01-15T08:06:00Z,ahu-a-f04-east,ON,NORMAL,14.31,25.95,14.00
src-ahu-0006-007,2026-01-15T08:06:00Z,ahu-a-f04-west,ON,NORMAL,14.40,25.95,14.00
src-ahu-0006-008,2026-01-15T08:06:00Z,ahu-b-f01-east,ON,NORMAL,14.40,25.30,14.00
src-ahu-0006-009,2026-01-15T08:06:00Z,ahu-b-f01-west,ON,NORMAL,14.43,25.26,14.00
src-ahu-0006-010,2026-01-15T08:06:00Z,ahu-b-f02-east,ON,NORMAL,14.38,25.25,14.00
src-ahu-0006-011,2026-01-15T08:06:00Z,ahu-b-f02-west,ON,NORMAL,14.28,25.11,14.00
src-ahu-0006-012,2026-01-15T08:06:00Z,ahu-b-f03-east,ON,NORMAL,14.33,25.08,14.00
src-ahu-0006-013,2026-01-15T08:06:00Z,ahu-b-f03-west,ON,NORMAL,14.06,24.84,14.00
src-ahu-0006-014,2026-01-15T08:06:00Z,ahu-b-f04-east,ON,NORMAL,13.99,24.90,14.00
src-ahu-0006-015,2026-01-15T08:06:00Z,ahu-b-f04-west,ON,NORMAL,14.08,24.69,14.00
src-ahu-0006-016,2026-01-15T08:06:00Z,ahu-c-f01-east,ON,NORMAL,13.96,24.38,14.00
src-ahu-0006-017,2026-01-15T08:06:00Z,ahu-c-f01-west,ON,NORMAL,13.81,24.22,14.00
src-ahu-0006-018,2026-01-15T08:06:00Z,ahu-c-f02-east,ON,NORMAL,13.93,24.27,14.00
src-ahu-0006-019,2026-01-15T08:06:00Z,ahu-c-f02-west,ON,NORMAL,13.91,24.30,14.00
src-ahu-0006-020,2026-01-15T08:06:00Z,ahu-c-f03-east,ON,NORMAL,13.79,24.38,14.00
src-ahu-0006-021,2026-01-15T08:06:00Z,ahu-c-f03-west,ON,NORMAL,13.74,24.47,14.00
src-ahu-0006-022,2026-01-15T08:06:00Z,ahu-c-f04-east,ON,NORMAL,13.79,24.66,14.00
src-ahu-0006-023,2026-01-15T08:06:00Z,ahu-c-f04-west,ON,NORMAL,13.65,24.70,14.00
src-ahu-0007-000,2026-01-15T08:07:00Z,ahu-a-f01-east,ON,NORMAL,14.25,24.73,14.00
src-ahu-0007-001,2026-01-15T08:07:00Z,ahu-a-f01-west,ON,NORMAL,14.20,24.92,14.00
src-ahu-0007-002,2026-01-15T08:07:00Z,ahu-a-f02-east,ON,NORMAL,14.20,25.33,14.00
src-ahu-0007-003,2026-01-15T08:07:00Z,ahu-a-f02-west,ON,NORMAL,14.32,25.42,14.00
src-ahu-0007-004,2026-01-15T08:07:00Z,ahu-a-f03-east,ON,NORMAL,14.39,25.70,14.00
src-ahu-0007-005,2026-01-15T08:07:00Z,ahu-a-f03-west,ON,NORMAL,14.33,25.74,14.00
src-ahu-0007-006,2026-01-15T08:07:00Z,ahu-a-f04-east,ON,NORMAL,14.47,25.96,14.00
src-ahu-0007-007,2026-01-15T08:07:00Z,ahu-a-f04-west,ON,NORMAL,14.29,25.98,14.00
src-ahu-0007-008,2026-01-15T08:07:00Z,ahu-b-f01-east,ON,NORMAL,14.29,25.21,14.00
src-ahu-0007-009,2026-01-15T08:07:00Z,ahu-b-f01-west,ON,NORMAL,14.38,25.20,14.00
src-ahu-0007-010,2026-01-15T08:07:00Z,ahu-b-f02-east,ON,NORMAL,14.28,25.33,14.00
src-ahu-0007-011,2026-01-15T08:07:00Z,ahu-b-f02-west,ON,NORMAL,14.20,25.03,14.00
src-ahu-0007-012,2026-01-15T08:07:00Z,ahu-b-f03-east,ON,NORMAL,14.13,25.08,14.00
src-ahu-0007-013,2026-01-15T08:07:00Z,ahu-b-f03-west,ON,NORMAL,14.04,24.95,14.00
src-ahu-0007-014,2026-01-15T08:07:00Z,ahu-b-f04-east,ON,NORMAL,13.99,24.92,14.00
src-ahu-0007-015,2026-01-15T08:07:00Z,ahu-b-f04-west,ON,NORMAL,14.02,24.61,14.00
src-ahu-0007-016,2026-01-15T08:07:00Z,ahu-c-f01-east,ON,NORMAL,14.00,24.39,14.00
src-ahu-0007-017,2026-01-15T08:07:00Z,ahu-c-f01-west,ON,NORMAL,13.99,24.24,14.00
src-ahu-0007-018,2026-01-15T08:07:00Z,ahu-c-f02-east,ON,NORMAL,13.92,24.32,14.00
src-ahu-0007-019,2026-01-15T08:07:00Z,ahu-c-f02-west,ON,NORMAL,13.68,24.23,14.00
src-ahu-0007-020,2026-01-15T08:07:00Z,ahu-c-f03-east,ON,NORMAL,13.80,24.33,14.00
src-ahu-0007-021,2026-01-15T08:07:00Z,ahu-c-f03-west,ON,NORMAL,13.63,24.43,14.00
src-ahu-0007-022,2026-01-15T08:07:00Z,ahu-c-f04-east,ON,NORMAL,13.78,24.69,14.00
src-ahu-0007-023,2026-01-15T08:07:00Z,ahu-c-f04-west,ON,NORMAL,13.74,24.66,14.00
src-ahu-0008-000,2026-01-15T08:08:00Z,ahu-a-f01-east,ON,NORMAL,14.09,24.89,14.00
src-ahu-0008-001,2026-01-15T08:08:00Z,ahu-a-f01-west,ON,NORMAL,14.30,24.99,14.00
src-ahu-0008-002,2026-01-15T08:08:00Z,ahu-a-f02-east,ON,NORMAL,14.23,25.44,14.00
src-ahu-0008-003,2026-01-15T08:08:00Z,ahu-a-f02-west,ON,NORMAL,14.28,25.51,14.00
src-ahu-0008-004,2026-01-15T08:08:00Z,ahu-a-f03-east,ON,NORMAL,14.32,25.73,14.00
src-ahu-0008-005,2026-01-15T08:08:00Z,ahu-a-f03-west,ON,NORMAL,14.34,25.83,14.00
src-ahu-0008-006,2026-01-15T08:08:00Z,ahu-a-f04-east,ON,NORMAL,14.37,25.91,14.00
src-ahu-0008-007,2026-01-15T08:08:00Z,ahu-a-f04-west,ON,NORMAL,14.43,25.92,14.00
src-ahu-0008-008,2026-01-15T08:08:00Z,ahu-b-f01-east,ON,NORMAL,14.37,25.38,14.00
src-ahu-0008-009,2026-01-15T08:08:00Z,ahu-b-f01-west,ON,NORMAL,14.27,25.15,14.00
src-ahu-0008-010,2026-01-15T08:08:00Z,ahu-b-f02-east,ON,NORMAL,14.31,25.26,14.00
src-ahu-0008-011,2026-01-15T08:08:00Z,ahu-b-f02-west,ON,NORMAL,14.24,24.95,14.00
src-ahu-0008-012,2026-01-15T08:08:00Z,ahu-b-f03-east,ON,NORMAL,14.06,25.05,14.00
src-ahu-0008-013,2026-01-15T08:08:00Z,ahu-b-f03-west,ON,NORMAL,14.20,24.88,14.00
src-ahu-0008-014,2026-01-15T08:08:00Z,ahu-b-f04-east,ON,NORMAL,13.97,24.82,14.00
src-ahu-0008-015,2026-01-15T08:08:00Z,ahu-b-f04-west,ON,NORMAL,13.96,24.66,14.00
src-ahu-0008-016,2026-01-15T08:08:00Z,ahu-c-f01-east,ON,NORMAL,13.98,24.34,14.00
src-ahu-0008-017,2026-01-15T08:08:00Z,ahu-c-f01-west,ON,NORMAL,13.97,24.25,14.00
src-ahu-0008-018,2026-01-15T08:08:00Z,ahu-c-f02-east,ON,NORMAL,13.92,24.26,14.00
src-ahu-0008-019,2026-01-15T08:08:00Z,ahu-c-f02-west,ON,NORMAL,13.66,24.20,14.00
src-ahu-0008-020,2026-01-15T08:08:00Z,ahu-c-f03-east,ON,NORMAL,13.81,24.30,14.00
src-ahu-0008-021,2026-01-15T08:08:00Z,ahu-c-f03-west,ON,NORMAL,13.68,24.40,14.00
src-ahu-0008-022,2026-01-15T08:08:00Z,ahu-c-f04-east,ON,NORMAL,13.65,24.68,14.00
src-ahu-0008-023,2026-01-15T08:08:00Z,ahu-c-f04-west,ON,NORMAL,13.72,24.68,14.00
src-ahu-0009-000,2026-01-15T08:09:00Z,ahu-a-f01-east,ON,NORMAL,14.22,24.83,14.00
src-ahu-0009-001,2026-01-15T08:09:00Z,ahu-a-f01-west,ON,NORMAL,14.35,25.03,14.00
src-ahu-0009-002,2026-01-15T08:09:00Z,ahu-a-f02-east,ON,NORMAL,14.42,25.43,14.00
src-ahu-0009-003,2026-01-15T08:09:00Z,ahu-a-f02-west,ON,NORMAL,14.28,25.52,14.00
src-ahu-0009-004,2026-01-15T08:09:00Z,ahu-a-f03-east,ON,NORMAL,14.44,25.80,14.00
src-ahu-0009-005,2026-01-15T08:09:00Z,ahu-a-f03-west,ON,NORMAL,14.25,25.80,14.00
src-ahu-0009-006,2026-01-15T08:09:00Z,ahu-a-f04-east,ON,NORMAL,14.26,25.90,14.00
src-ahu-0009-007,2026-01-15T08:09:00Z,ahu-a-f04-west,ON,NORMAL,14.29,25.89,14.00
src-ahu-0009-008,2026-01-15T08:09:00Z,ahu-b-f01-east,ON,NORMAL,14.24,25.34,14.00
src-ahu-0009-009,2026-01-15T08:09:00Z,ahu-b-f01-west,ON,NORMAL,14.19,25.16,14.00
src-ahu-0009-010,2026-01-15T08:09:00Z,ahu-b-f02-east,ON,NORMAL,14.25,25.28,14.00
src-ahu-0009-011,2026-01-15T08:09:00Z,ahu-b-f02-west,ON,NORMAL,14.25,24.93,14.00
src-ahu-0009-012,2026-01-15T08:09:00Z,ahu-b-f03-east,ON,NORMAL,14.18,25.09,14.00
src-ahu-0009-013,2026-01-15T08:09:00Z,ahu-b-f03-west,ON,NORMAL,14.04,24.87,14.00
src-ahu-0009-014,2026-01-15T08:09:00Z,ahu-b-f04-east,ON,NORMAL,14.00,24.80,14.00
src-ahu-0009-015,2026-01-15T08:09:00Z,ahu-b-f04-west,ON,NORMAL,13.96,24.71,14.00
src-ahu-0009-016,2026-01-15T08:09:00Z,ahu-c-f01-east,ON,NORMAL,13.95,24.26,14.00
src-ahu-0009-017,2026-01-15T08:09:00Z,ahu-c-f01-west,ON,NORMAL,13.78,24.18,14.00
src-ahu-0009-018,2026-01-15T08:09:00Z,ahu-c-f02-east,ON,NORMAL,13.74,24.29,14.00
src-ahu-0009-019,2026-01-15T08:09:00Z,ahu-c-f02-west,ON,NORMAL,13.85,24.16,14.00
src-ahu-0009-020,2026-01-15T08:09:00Z,ahu-c-f03-east,ON,NORMAL,13.66,24.45,14.00
src-ahu-0009-021,2026-01-15T08:09:00Z,ahu-c-f03-west,ON,NORMAL,13.79,24.44,14.00
src-ahu-0009-022,2026-01-15T08:09:00Z,ahu-c-f04-east,ON,NORMAL,13.61,24.66,14.00
