source_record_id,observed_at,meter_id,active_power_kw,cumulative_energy_kwh
src-meter-0004-000,2026-01-15T08:04:00Z,meter-a-f01,12.40,10001.033
src-meter-0004-001,2026-01-15T08:04:00Z,meter-a-f02,14.88,10501.220
src-meter-0004-002,2026-01-15T08:04:00Z,meter-a-f03,16.81,11001.386
src-meter-0004-003,2026-01-15T08:04:00Z,meter-a-f04,18.35,11501.536
src-meter-0004-004,2026-01-15T08:04:00Z,meter-b-f01,16.68,12001.406
src-meter-0004-005,2026-01-15T08:04:00Z,meter-b-f02,18.56,12501.552
src-meter-0004-006,2026-01-15T08:04:00Z,meter-b-f03,20.32,13001.685
src-meter-0004-007,2026-01-15T08:04:00Z,meter-b-f04,21.65,13501.807
src-meter-0004-008,2026-01-15T08:04:00Z,meter-c-f01,14.57,14001.216
src-meter-0004-009,2026-01-15T08:04:00Z,meter-c-f02,15.57,14501.299
src-meter-0004-010,2026-01-15T08:04:00Z,meter-c-f03,16.73,15001.404
src-meter-0004-011,2026-01-15T08:04:00Z,meter-c-f04,18.07,15501.484
src-meter-0005-000,2026-01-15T08:05:00Z,meter-a-f01,12.90,10001.249
src-meter-0005-001,2026-01-15T08:05:00Z,meter-a-f02,14.86,10501.468
src-meter-0005-002,2026-01-15T08:05:00Z,meter-a-f03,17.01,11001.670
src-meter-0005-003,2026-01-15T08:05:00Z,meter-a-f04,18.90,11501.851
src-meter-0005-004,2026-01-15T08:05:00Z,meter-b-f01,16.68,12001.684
src-meter-0005-005,2026-01-15T08:05:00Z,meter-b-f02,18.35,12501.857
src-meter-0005-006,2026-01-15T08:05:00Z,meter-b-f03,20.10,13002.020
src-meter-0005-007,2026-01-15T08:05:00Z,meter-b-f04,21.66,13502.168
src-meter-0005-008,2026-01-15T08:05:00Z,meter-c-f01,14.88,14001.464
src-meter-0005-009,2026-01-15T08:05:00Z,meter-c-f02,15.77,14501.562
src-meter-0005-010,2026-01-15T08:05:00Z,meter-c-f03,16.65,15001.681
src-meter-0005-011,2026-01-15T08:05:00Z,meter-c-f04,17.82,15501.781
src-meter-0006-000,2026-01-15T08:06:00Z,meter-a-f01,12.74,10001.461
src-meter-0006-001,2026-01-15T08:06:00Z,meter-a-f02,15.00,10501.718
src-meter-0006-002,2026-01-15T08:06:00Z,meter-a-f03,16.80,11001.950
src-meter-0006-003,2026-01-15T08:06:00Z,meter-a-f04,18.44,11502.158
src-meter-0006-004,2026-01-15T08:06:00Z,meter-b-f01,17.12,12001.970
src-meter-0006-005,2026-01-15T08:06:00Z,meter-b-f02,18.51,12502.166
src-meter-0006-006,2026-01-15T08:06:00Z,meter-b-f03,20.23,13002.357
src-meter-0006-007,2026-01-15T08:06:00Z,meter-b-f04,22.03,13502.535
src-meter-0006-008,2026-01-15T08:06:00Z,meter-c-f01,14.53,14001.706
src-meter-0006-009,2026-01-15T08:06:00Z,meter-c-f02,15.52,14501.821
src-meter-0006-010,2026-01-15T08:06:00Z,meter-c-f03,16.92,15001.963
src-meter-0006-011,2026-01-15T08:06:00Z,meter-c-f04,17.80,15502.078
src-meter-0007-000,2026-01-15T08:07:00Z,meter-a-f01,12.44,10001.668
src-meter-0007-001,2026-01-15T08:07:00Z,meter-a-f02,14.54,10501.960
src-meter-0007-002,2026-01-15T08:07:00Z,meter-a-f03,16.58,11002.226
src-meter-0007-003,2026-01-15T08:07:00Z,meter-a-f04,18.79,11502.471
src-meter-0007-004,2026-01-15T08:07:00Z,meter-b-f01,16.70,12002.248
src-meter-0007-005,2026-01-15T08:07:00Z,meter-b-f02,18.74,12502.478
src-meter-0007-006,2026-01-15T08:07:00Z,meter-b-f03,20.36,13002.697
src-meter-0007-007,2026-01-15T08:07:00Z,meter-b-f04,21.98,13502.901
src-meter-0007-008,2026-01-15T08:07:00Z,meter-c-f01,14.33,14001.945
src-meter-0007-009,2026-01-15T08:07:00Z,meter-c-f02,15.68,14502.082
src-meter-0007-010,2026-01-15T08:07:00Z,meter-c-f03,17.06,15002.248
src-meter-0007-011,2026-01-15T08:07:00Z,meter-c-f04,17.96,15502.377
src-meter-0008-000,2026-01-15T08:08:00Z,meter-a-f01,12.94,10001.884
src-meter-0008-001,2026-01-15T08:08:00Z,meter-a-f02,14.50,10502.202
src-meter-0008-002,2026-01-15T08:08:00Z,meter-a-f03,17.13,11002.512
src-meter-0008-003,2026-01-15T08:08:00Z,meter-a-f04,18.83,11502.785
src-meter-0008-004,2026-01-15T08:08:00Z,meter-b-f01,16.82,12002.528
src-meter-0008-005,2026-01-15T08:08:00Z,meter-b-f02,19.00,12502.795
src-meter-0008-006,2026-01-15T08:08:00Z,meter-b-f03,20.26,13003.034
src-meter-0008-007,2026-01-15T08:08:00Z,meter-b-f04,21.69,13503.262
src-meter-0008-008,2026-01-15T08:08:00Z,meter-c-f01,14.51,14002.186
src-meter-0008-009,2026-01-15T08:08:00Z,meter-c-f02,16.04,14502.350
src-meter-0008-010,2026-01-15T08:08:00Z,meter-c-f03,16.99,15002.531
src-meter-0008-011,2026-01-15T08:08:00Z,meter-c-f04,17.42,15502.668
src-meter-0009-000,2026-01-15T08:09:00Z,meter-a-f01,12.94,10002.099
src-meter-0009-001,2026-01-15T08:09:00Z,meter-a-f02,14.97,10502.451
src-meter-0009-002,2026-01-15T08:09:00Z,meter-a-f03,16.79,11002.791
src-meter-0009-003,2026-01-15T08:09:00Z,meter-a-f04,18.77,11503.098
src-meter-0009-004,2026-01-15T08:09:00Z,meter-b-f01,16.69,12002.806
src-meter-0009-005,2026-01-15T08:09:00Z,meter-b-f02,18.83,12503.109
src-meter-0009-006,2026-01-15T08:09:00Z,meter-b-f03,20.37,13003.374
src-meter-0009-007,2026-01-15T08:09:00Z,meter-b-f04,22.13,13503.631
src-meter-0009-008,2026-01-15T08:09:00Z,meter-c-f01,14.21,14002.423
src-meter-0009-009,2026-01-15T08:09:00Z,meter-c-f02,15.47,14502.607
src-meter-0009-010,2026-01-15T08:09:00Z,meter-c-f03,16.72,15002.809
src-meter-0009-011,2026-01-15T08:09:00Z,meter-c-f04,17.62,15502.961
src-meter-0010-000,2026-01-15T08:10:00Z,meter-a-f01,12.65,10002.310
src-meter-0010-001,2026-01-15T08:10:00Z,meter-a-f02,14.66,10502.695
src-meter-0010-002,2026-01-15T08:10:00Z,meter-a-f03,16.62,11003.068
src-meter-0010-003,2026-01-15T08:10:00Z,meter-a-f04,18.81,11503.411
src-meter-0010-004,2026-01-15T08:10:00Z,meter-b-f01,17.15,12003.092
src-meter-0010-005,2026-01-15T08:10:00Z,meter-b-f02,18.65,12503.420
src-meter-0010-006,2026-01-15T08:10:00Z,meter-b-f03,20.20,13003.711
src-meter-0010-007,2026-01-15T08:10:00Z,meter-b-f04,22.10,13504.000
src-meter-0010-008,2026-01-15T08:10:00Z,meter-c-f01,14.72,14002.669
src-meter-0010-009,2026-01-15T08:10:00Z,meter-c-f02,15.57,14502.867
src-meter-0010-010,2026-01-15T08:10:00Z,meter-c-f03,16.65,15003.087
src-meter-0010-011,2026-01-15T08:10:00Z,meter-c-f04,17.96,15503.261
src-meter-0011-000,2026-01-15T08:11:00Z,meter-a-f01,13.01,10002.527
src-meter-0011-001,2026-01-15T08:11:00Z,meter-a-f02,14.77,10502.941
src-meter-0011-002,2026-01-15T08:11:00Z,meter-a-f03,17.03,11003.352
src-meter-0011-003,2026-01-15T08:11:00Z,meter-a-f04,18.82,11503.725
src-meter-0011-004,2026-01-15T08:11:00Z,meter-b-f01,17.13,12003.378
src-meter-0011-005,2026-01-15T08:11:00Z,meter-b-f02,18.43,12503.727
src-meter-0011-006,2026-01-15T08:11:00Z,meter-b-f03,20.42,13004.051
src-meter-0011-007,2026-01-15T08:11:00Z,meter-b-f04,21.55,13504.359
src-meter-0011-008,2026-01-15T08:11:00Z,meter-c-f01,14.49,14002.910
src-meter-0011-009,2026-01-15T08:11:00Z,meter-c-f02,15.35,14503.123
src-meter-0011-010,2026-01-15T08:11:00Z,meter-c-f03,16.43,15003.361
src-meter-0011-011,2026-01-15T08:11:00Z,meter-c-f04,17.73,15503.556
src-meter-0012-000,2026-01-15T08:12:00Z,meter-a-f01,12.85,10002.741
src-meter-0012-001,2026-01-15T08:12:00Z,meter-a-f02,15.02,10503.192
src-meter-0012-002,2026-01-15T08:12:00Z,meter-a-f03,16.60,11003.629
src-meter-0012-003,2026-01-15T08:12:00Z,meter-a-f04,18.59,11504.035
src-meter-0012-004,2026-01-15T08:12:00Z,meter-b-f01,17.04,12003.662
src-meter-0012-005,2026-01-15T08:12:00Z,meter-b-f02,18.88,12504.041
src-meter-0012-006,2026-01-15T08:12:00Z,meter-b-f03,20.29,13004.389
src-meter-0012-007,2026-01-15T08:12:00Z,meter-b-f04,22.14,13504.728
src-meter-0012-008,2026-01-15T08:12:00Z,meter-c-f01,14.50,14003.152
src-meter-0012-009,2026-01-15T08:12:00Z,meter-c-f02,15.45,14503.380
src-meter-0012-010,2026-01-15T08:12:00Z,meter-c-f03,16.97,15003.643
src-meter-0012-011,2026-01-15T08:12:00Z,meter-c-f04,17.40,15503.846
src-meter-0013-000,2026-01-15T08:13:00Z,meter-a-f01,12.82,10002.955
src-meter-0013-001,2026-01-15T08:13:00Z,meter-a-f02,14.84,10503.439
src-meter-0013-002,2026-01-15T08:13:00Z,meter-a-f03,17.16,11003.915
src-meter-0013-003,2026-01-15T08:13:00Z,meter-a-f04,19.05,11504.352
src-meter-0013-004,2026-01-15T08:13:00Z,meter-b-f01,16.83,12003.942
src-meter-0013-005,2026-01-15T08:13:00Z,meter-b-f02,18.86,12504.356
src-meter-0013-006,2026-01-15T08:13:00Z,meter-b-f03,20.29,13004.727
src-meter-0013-007,2026-01-15T08:13:00Z,meter-b-f04,21.76,13505.090
src-meter-0013-008,2026-01-15T08:13:00Z,meter-c-f01,14.65,14003.396
src-meter-0013-009,2026-01-15T08:13:00Z,meter-c-f02,15.56,14503.640
src-meter-0013-010,2026-01-15T08:13:00Z,meter-c-f03,16.99,15003.927
src-meter-0013-011,2026-01-15T08:13:00Z,meter-c-f04,17.82,15504.143
src-meter-0014-000,2026-01-15T08:14:00Z,meter-a-f01,12.72,10003.167
src-meter-0014-001,2026-01-15T08:14:00Z,meter-a-f02,15.35,10503.695
src-meter-0014-002,2026-01-15T08:14:00Z,meter-a-f03,17.27,11004.203
src-meter-0014-003,2026-01-15T08:14:00Z,meter-a-f04,19.25,11504.673
src-meter-0014-004,2026-01-15T08:14:00Z,meter-b-f01,17.34,12004.231
src-meter-0014-005,2026-01-15T08:14:00Z,meter-b-f02,18.48,12504.664
src-meter-0014-006,2026-01-15T08:14:00Z,meter-b-f03,20.47,13005.068
src-meter-0014-007,2026-01-15T08:14:00Z,meter-b-f04,21.52,13505.449
src-meter-0014-008,2026-01-15T08:14:00Z,meter-c-f01,14.42,14003.636
src-meter-0014-009,2026-01-15T08:14:00Z,meter-c-f02,15.71,14503.901
src-meter-0014-010,2026-01-15T08:14:00Z,meter-c-f03,16.60,15004.203
src-meter-0014-011,2026-01-15T08:14:00Z,meter-c-f04,17.26,15504.431
src-meter-0015-000,2026-01-15T08:15:00Z,meter-a-f01,13.08,10003.385
src-meter-0015-001,2026-01-15T08:15:00Z,meter-a-f02,15.37,10503.951
src-meter-0015-002,2026-01-15T08:15:00Z,meter-a-f03,17.22,11004.490
src-meter-0015-003,2026-01-15T08:15:00Z,meter-a-f04,19.09,11504.991
src-meter-0015-004,2026-01-15T08:15:00Z,meter-b-f01,16.85,12004.512
src-meter-0015-005,2026-01-15T08:15:00Z,meter-b-f02,18.53,12504.973
src-meter-0015-006,2026-01-15T08:15:00Z,meter-b-f03,20.06,13005.403
src-meter-0015-007,2026-01-15T08:15:00Z,meter-b-f04,21.85,13505.813
src-meter-0015-008,2026-01-15T08:15:00Z,meter-c-f01,14.80,14003.883
src-meter-0015-009,2026-01-15T08:15:00Z,meter-c-f02,15.33,14504.157
src-meter-0015-010,2026-01-15T08:15:00Z,meter-c-f03,16.65,15004.481
src-meter-0015-011,2026-01-15T08:15:00Z,meter-c-f04,17.54,15504.723
src-meter-0016-000,2026-01-15T08:16:00Z,meter-a-f01,12.87,10003.599
src-meter-0016-001,2026-01-15T08:16:00Z,meter-a-f02,14.73,10504.197
src-meter-0016-002,2026-01-15T08:16:00Z,meter-a-f03,17.22,11004.777
src-meter-0016-003,2026-01-15T08:16:00Z,meter-a-f04,18.79,11505.305
src-meter-0016-004,2026-01-15T08:16:00Z,meter-b-f01,17.32,12004.801
src-meter-0016-005,2026-01-15T08:16:00Z,meter-b-f02,18.93,12505.288
src-meter-0016-006,2026-01-15T08:16:00Z,meter-b-f03,20.39,13005.743
src-meter-0016-007,2026-01-15T08:16:00Z,meter-b-f04,21.53,13506.172
src-meter-0016-008,2026-01-15T08:16:00Z,meter-c-f01,14.68,14004.128
src-meter-0016-009,2026-01-15T08:16:00Z,meter-c-f02,15.68,14504.418
src-meter-0016-010,2026-01-15T08:16:00Z,meter-c-f03,16.32,15004.753
src-meter-0016-011,2026-01-15T08:16:00Z,meter-c-f04,17.83,15505.020
src-meter-0017-000,2026-01-15T08:17:00Z,meter-a-f01,13.28,10003.821
src-meter-0017-001,2026-01-15T08:17:00Z,meter-a-f02,15.35,10504.453
src-meter-0017-002,2026-01-15T08:17:00Z,meter-a-f03,16.96,11005.059
src-meter-0017-003,2026-01-15T08:17:00Z,meter-a-f04,19.03,11505.622
src-meter-0017-004,2026-01-15T08:17:00Z,meter-b-f01,16.96,12005.083
src-meter-0017-005,2026-01-15T08:17:00Z,meter-b-f02,18.82,12505.602
src-meter-0017-006,2026-01-15T08:17:00Z,meter-b-f03,20.41,13006.083
src-meter-0017-007,2026-01-15T08:17:00Z,meter-b-f04,21.55,13506.531
src-meter-0017-008,2026-01-15T08:17:00Z,meter-c-f01,14.32,14004.366
src-meter-0017-009,2026-01-15T08:17:00Z,meter-c-f02,15.48,14504.676
src-meter-0017-010,2026-01-15T08:17:00Z,meter-c-f03,16.69,15005.031
src-meter-0017-011,2026-01-15T08:17:00Z,meter-c-f04,17.36,15505.310
src-meter-0018-000,2026-01-15T08:18:00Z,meter-a-f01,12.81,10004.034
src-meter-0018-001,2026-01-15T08:18:00Z,meter-a-f02,14.94,10504.701
src-meter-0018-002,2026-01-15T08:18:00Z,meter-a-f03,16.81,11005.339
src-meter-0018-003,2026-01-15T08:18:00Z,meter-a-f04,18.79,11505.935
src-meter-0018-004,2026-01-15T08:18:00Z,meter-b-f01,17.13,12005.369
src-meter-0018-005,2026-01-15T08:18:00Z,meter-b-f02,18.87,12505.916
src-meter-0018-006,2026-01-15T08:18:00Z,meter-b-f03,20.07,13006.417
src-meter-0018-007,2026-01-15T08:18:00Z,meter-b-f04,21.65,13506.892
src-meter-0018-008,2026-01-15T08:18:00Z,meter-c-f01,14.55,14004.609
src-meter-0018-009,2026-01-15T08:18:00Z,meter-c-f02,15.43,14504.933
src-meter-0018-010,2026-01-15T08:18:00Z,meter-c-f03,16.84,15005.312
src-meter-0018-011,2026-01-15T08:18:00Z,meter-c-f04,17.35,15505.599
src-meter-0019-000,2026-01-15T08:19:00Z,meter-a-f01,13.35,10004.257
src-meter-0019-001,2026-01-15T08:19:00Z,meter-a-f02,15.46,10504.959
src-meter-0019-002,2026-01-15T08:19:00Z,meter-a-f03,16.90,11005.621
src-meter-0019-003,2026-01-15T08:19:00Z,meter-a-f04,18.79,11506.248
src-meter-0019-004,2026-01-15T08:19:00Z,meter-b-f01,16.89,12005.650
src-meter-0019-005,2026-01-15T08:19:00Z,meter-b-f02,18.78,12506.229
src-meter-0019-006,2026-01-15T08:19:00Z,meter-b-f03,20.59,13006.760
src-meter-0019-007,2026-01-15T08:19:00Z,meter-b-f04,21.56,13507.251
src-meter-0019-008,2026-01-15T08:19:00Z,meter-c-f01,14.43,14004.849
src-meter-0019-009,2026-01-15T08:19:00Z,meter-c-f02,15.80,14505.197
src-meter-0019-010,2026-01-15T08:19:00Z,meter-c-f03,16.62,15005.589
src-meter-0019-011,2026-01-15T08:19:00Z,meter-c-f04,17.63,15505.893
src-meter-0020-000,2026-01-15T08:20:00Z,meter-a-f01,13.34,10004.479
src-meter-0020-001,2026-01-15T08:20:00Z,meter-a-f02,15.06,10505.210
src-meter-0020-002,2026-01-15T08:20:00Z,meter-a-f03,17.18,11005.907
src-meter-0020-003,2026-01-15T08:20:00Z,meter-a-f04,19.20,11506.568
src-meter-0020-004,2026-01-15T08:20:00Z,meter-b-f01,17.56,12005.943
src-meter-0020-005,2026-01-15T08:20:00Z,meter-b-f02,18.92,12506.545
src-meter-0020-006,2026-01-15T08:20:00Z,meter-b-f03,20.15,13007.096
src-meter-0020-007,2026-01-15T08:20:00Z,meter-b-f04,22.03,13507.618
src-meter-0020-008,2026-01-15T08:20:00Z,meter-c-f01,14.06,14005.083
src-meter-0020-009,2026-01-15T08:20:00Z,meter-c-f02,15.62,14505.457
src-meter-0020-010,2026-01-15T08:20:00Z,meter-c-f03,16.31,15005.861
src-meter-0020-011,2026-01-15T08:20:00Z,meter-c-f04,17.15,15506.178
src-meter-0021-000,2026-01-15T08:21:00Z,meter-a-f01,13.31,10004.701
src-meter-0021-001,2026-01-15T08:21:00Z,meter-a-f02,15.12,10505.462
src-meter-0021-002,2026-01-15T08:21:00Z,meter-a-f03,17.55,11006.200
src-meter-0021-003,2026-01-15T08:21:00Z,meter-a-f04,19.22,11506.888
src-meter-0021-004,2026-01-15T08:21:00Z,meter-b-f01,17.12,12006.228
src-meter-0021-005,2026-01-15T08:21:00Z,meter-b-f02,18.81,12506.858
src-meter-0021-006,2026-01-15T08:21:00Z,meter-b-f03,20.70,13007.441
src-meter-0021-007,2026-01-15T08:21:00Z,meter-b-f04,22.11,13507.987
src-meter-0021-008,2026-01-15T08:21:00Z,meter-c-f01,14.09,14005.318
src-meter-0021-009,2026-01-15T08:21:00Z,meter-c-f02,15.44,14505.714
src-meter-0021-010,2026-01-15T08:21:00Z,meter-c-f03,16.73,15006.140
src-meter-0021-011,2026-01-15T08:21:00Z,meter-c-f04,17.53,15506.471
src-meter-0022-000,2026-01-15T08:22:00Z,meter-a-f01,13.27,10004.922
src-meter-0022-001,2026-01-15T08:22:00Z,meter-a-f02,15.53,10505.721
src-meter-0022-002,2026-01-15T08:22:00Z,meter-a-f03,17.35,11006.489
src-meter-0022-003,2026-01-15T08:22:00Z,meter-a-f04,18.96,11507.204
src-meter-0022-004,2026-01-15T08:22:00Z,meter-b-f01,17.18,12006.515
src-meter-0022-005,2026-01-15T08:22:00Z,meter-b-f02,18.83,12507.172
src-meter-0022-006,2026-01-15T08:22:00Z,meter-b-f03,20.74,13007.787
src-meter-0022-007,2026-01-15T08:22:00Z,meter-b-f04,21.98,13508.353
src-meter-0022-008,2026-01-15T08:22:00Z,meter-c-f01,14.42,14005.559
src-meter-0022-009,2026-01-15T08:22:00Z,meter-c-f02,15.49,14505.973
src-meter-0022-010,2026-01-15T08:22:00Z,meter-c-f03,16.69,15006.418
src-meter-0022-011,2026-01-15T08:22:00Z,meter-c-f04,17.64,15506.765
src-meter-0023-000,2026-01-15T08:23:00Z,meter-a-f01,13.21,10005.142
src-meter-0023-001,2026-01-15T08:23:00Z,meter-a-f02,15.16,10505.974
src-meter-0023-002,2026-01-15T08:23:00Z,meter-a-f03,17.07,11006.774
src-meter-0023-003,2026-01-15T08:23:00Z,meter-a-f04,19.24,11507.525
src-meter-0023-004,2026-01-15T08:23:00Z,meter-b-f01,17.01,12006.798
src-meter-0023-005,2026-01-15T08:23:00Z,meter-b-f02,18.69,12507.483
src-meter-0023-006,2026-01-15T08:23:00Z,meter-b-f03,20.46,13008.128
src-meter-0023-007,2026-01-15T08:23:00Z,meter-b-f04,22.00,13508.720
src-meter-0023-008,2026-01-15T08:23:00Z,meter-c-f01,14.57,14005.801
src-meter-0023-009,2026-01-15T08:23:00Z,meter-c-f02,15.71,14506.234
src-meter-0023-010,2026-01-15T08:23:00Z,meter-c-f03,16.62,15006.695
src-meter-0023-011,2026-01-15T08:23:00Z,meter-c-f04,17.10,15507.050
src-meter-0024-000,2026-01-15T08:24:00Z,meter-a-f01,13.62,10005.369
src-meter-0024-001,2026-01-15T08:24:00Z,meter-a-f02,15.22,10506.227
src-meter-0024-002,2026-01-15T08:24:00Z,meter-a-f03,17.36,11007.063
src-meter-0024-003,2026-01-15T08:24:00Z,meter-a-f04,19.25,11507.846
src-meter-0024-004,2026-01-15T08:24:00Z,meter-b-f01,17.00,12007.081
src-meter-0024-005,2026-01-15T08:24:00Z,meter-b-f02,18.99,12507.800
src-meter-0024-006,2026-01-15T08:24:00Z,meter-b-f03,20.18,13008.464
src-meter-0024-007,2026-01-15T08:24:00Z,meter-b-f04,21.47,13509.078
src-meter-0024-008,2026-01-15T08:24:00Z,meter-c-f01,14.06,14006.036
src-meter-0024-009,2026-01-15T08:24:00Z,meter-c-f02,15.61,14506.495
src-meter-0024-010,2026-01-15T08:24:00Z,meter-c-f03,16.53,15006.970
src-meter-0024-011,2026-01-15T08:24:00Z,meter-c-f04,17.15,15507.335
src-meter-0025-000,2026-01-15T08:25:00Z,meter-a-f01,13.61,10005.596
src-meter-0025-001,2026-01-15T08:25:00Z,meter-a-f02,15.17,10506.480
src-meter-0025-002,2026-01-15T08:25:00Z,meter-a-f03,17.49,11007.355
src-meter-0025-003,2026-01-15T08:25:00Z,meter-a-f04,18.98,11508.162
src-meter-0025-004,2026-01-15T08:25:00Z,meter-b-f01,17.36,12007.371
src-meter-0025-005,2026-01-15T08:25:00Z,meter-b-f02,19.00,12508.117
src-meter-0025-006,2026-01-15T08:25:00Z,meter-b-f03,20.48,13008.805
src-meter-0025-007,2026-01-15T08:25:00Z,meter-b-f04,21.66,13509.439
src-meter-0025-008,2026-01-15T08:25:00Z,meter-c-f01,14.30,14006.274
src-meter-0025-009,2026-01-15T08:25:00Z,meter-c-f02,15.04,14506.745
src-meter-0025-010,2026-01-15T08:25:00Z,meter-c-f03,16.64,15007.247
src-meter-0025-011,2026-01-15T08:25:00Z,meter-c-f04,17.09,15507.620
src-meter-0026-000,2026-01-15T08:26:00Z,meter-a-f01,13.31,10005.818
src-meter-0026-001,2026-01-15T08:26:00Z,meter-a-f02,15.74,10506.742
src-meter-0026-002,2026-01-15T08:26:00Z,meter-a-f03,17.55,11007.647
src-meter-0026-003,2026-01-15T08:26:00Z,meter-a-f04,18.99,11508.479
src-meter-0026-004,2026-01-15T08:26:00Z,meter-b-f01,17.68,12007.665
src-meter-0026-005,2026-01-15T08:26:00Z,meter-b-f02,18.80,12508.430
src-meter-0026-006,2026-01-15T08:26:00Z,meter-b-f03,20.74,13009.151
src-meter-0026-007,2026-01-15T08:26:00Z,meter-b-f04,21.64,13509.799
src-meter-0026-008,2026-01-15T08:26:00Z,meter-c-f01,14.49,14006.516
src-meter-0026-009,2026-01-15T08:26:00Z,meter-c-f02,15.69,14507.007
src-meter-0026-010,2026-01-15T08:26:00Z,meter-c-f03,16.08,15007.516
src-meter-0026-011,2026-01-15T08:26:00Z,meter-c-f04,17.06,15507.905
src-meter-0027-000,2026-01-15T08:27:00Z,meter-a-f01,13.18,10006.037
src-meter-0027-001,2026-01-15T08:27:00Z,meter-a-f02,15.56,10507.002
src-meter-0027-002,2026-01-15T08:27:00Z,meter-a-f03,17.38,11007.937
src-meter-0027-003,2026-01-15T08:27:00Z,meter-a-f04,19.21,11508.799
src-meter-0027-004,2026-01-15T08:27:00Z,meter-b-f01,17.48,12007.957
src-meter-0027-005,2026-01-15T08:27:00Z,meter-b-f02,19.03,12508.747
src-meter-0027-006,2026-01-15T08:27:00Z,meter-b-f03,20.07,13009.486
