source_record_id,observed_at,device_id,room_temperature_c,relative_humidity_pct,co2_ppm
src-iaq-0000-038,2026-01-15T08:00:00Z,iaq-c-f02-west-r01,24.02,48.6,682.4
src-iaq-0000-039,2026-01-15T08:00:00Z,iaq-c-f02-west-r02,24.00,49.6,702.3
src-iaq-0000-040,2026-01-15T08:00:00Z,iaq-c-f03-east-r01,24.18,49.2,652.3
src-iaq-0000-041,2026-01-15T08:00:00Z,iaq-c-f03-east-r02,24.09,50.1,685.7
src-iaq-0000-042,2026-01-15T08:00:00Z,iaq-c-f03-west-r01,24.12,51.1,688.5
src-iaq-0000-043,2026-01-15T08:00:00Z,iaq-c-f03-west-r02,24.04,50.7,687.2
src-iaq-0000-044,2026-01-15T08:00:00Z,iaq-c-f04-east-r01,24.26,51.7,690.1
src-iaq-0000-045,2026-01-15T08:00:00Z,iaq-c-f04-east-r02,24.13,51.8,705.2
src-iaq-0000-046,2026-01-15T08:00:00Z,iaq-c-f04-west-r01,24.25,51.9,663.9
src-iaq-0000-047,2026-01-15T08:00:00Z,iaq-c-f04-west-r02,24.41,52.6,673.4
src-iaq-0001-000,2026-01-15T08:01:00Z,iaq-a-f01-east-r01,24.25,55.8,651.9
src-iaq-0001-001,2026-01-15T08:01:00Z,iaq-a-f01-east-r02,24.37,55.8,684.6
src-iaq-0001-002,2026-01-15T08:01:00Z,iaq-a-f01-west-r01,24.44,56.1,676.8
src-iaq-0001-003,2026-01-15T08:01:00Z,iaq-a-f01-west-r02,24.39,56.3,676.5
src-iaq-0001-004,2026-01-15T08:01:00Z,iaq-a-f02-east-r01,24.79,55.5,652.3
src-iaq-0001-005,2026-01-15T08:01:00Z,iaq-a-f02-east-r02,24.89,56.3,688.1
src-iaq-0001-006,2026-01-15T08:01:00Z,iaq-a-f02-west-r01,24.89,55.6,654.9
src-iaq-0001-007,2026-01-15T08:01:00Z,iaq-a-f02-west-r02,24.99,55.3,720.0
src-iaq-0001-008,2026-01-15T08:01:00Z,iaq-a-f03-east-r01,25.20,55.3,709.6
src-iaq-0001-009,2026-01-15T08:01:00Z,iaq-a-f03-east-r02,25.36,54.6,772.2
src-iaq-0001-010,2026-01-15T08:01:00Z,iaq-a-f03-west-r01,25.29,55.2,773.9
src-iaq-0001-011,2026-01-15T08:01:00Z,iaq-a-f03-west-r02,25.45,54.8,806.9
src-iaq-0001-012,2026-01-15T08:01:00Z,iaq-a-f04-east-r01,25.66,53.4,806.6
src-iaq-0001-013,2026-01-15T08:01:00Z,iaq-a-f04-east-r02,25.60,53.1,881.2
src-iaq-0001-014,2026-01-15T08:01:00Z,iaq-a-f04-west-r01,25.74,52.8,868.3
src-iaq-0001-015,2026-01-15T08:01:00Z,iaq-a-f04-west-r02,25.70,53.2,889.3
src-iaq-0001-016,2026-01-15T08:01:00Z,iaq-b-f01-east-r01,24.96,52.3,915.3
src-iaq-0001-017,2026-01-15T08:01:00Z,iaq-b-f01-east-r02,25.06,52.2,934.4
src-iaq-0001-018,2026-01-15T08:01:00Z,iaq-b-f01-west-r01,24.88,51.0,900.8
src-iaq-0001-019,2026-01-15T08:01:00Z,iaq-b-f01-west-r02,24.98,50.9,928.6
src-iaq-0001-020,2026-01-15T08:01:00Z,iaq-b-f02-east-r01,25.16,50.4,927.8
src-iaq-0001-021,2026-01-15T08:01:00Z,iaq-b-f02-east-r02,25.10,49.7,929.4
src-iaq-0001-022,2026-01-15T08:01:00Z,iaq-b-f02-west-r01,24.88,50.3,924.8
src-iaq-0001-023,2026-01-15T08:01:00Z,iaq-b-f02-west-r02,24.74,49.0,923.4
src-iaq-0001-024,2026-01-15T08:01:00Z,iaq-b-f03-east-r01,24.85,49.4,925.5
src-iaq-0001-025,2026-01-15T08:01:00Z,iaq-b-f03-east-r02,24.81,48.8,899.7
src-iaq-0001-026,2026-01-15T08:01:00Z,iaq-b-f03-west-r01,24.72,48.0,894.3
src-iaq-0001-027,2026-01-15T08:01:00Z,iaq-b-f03-west-r02,24.74,47.7,891.1
src-iaq-0001-028,2026-01-15T08:01:00Z,iaq-b-f04-east-r01,24.83,48.1,863.9
src-iaq-0001-029,2026-01-15T08:01:00Z,iaq-b-f04-east-r02,24.57,47.9,853.8
src-iaq-0001-030,2026-01-15T08:01:00Z,iaq-b-f04-west-r01,24.61,48.2,808.1
src-iaq-0001-031,2026-01-15T08:01:00Z,iaq-b-f04-west-r02,24.42,48.1,797.3
src-iaq-0001-032,2026-01-15T08:01:00Z,iaq-c-f01-east-r01,24.25,47.9,730.8
src-iaq-0001-033,2026-01-15T08:01:00Z,iaq-c-f01-east-r02,24.03,48.4,715.4
src-iaq-0001-034,2026-01-15T08:01:00Z,iaq-c-f01-west-r01,24.03,48.3,691.4
src-iaq-0001-035,2026-01-15T08:01:00Z,iaq-c-f01-west-r02,23.86,48.3,675.2
src-iaq-0001-036,2026-01-15T08:01:00Z,iaq-c-f02-east-r01,24.15,49.0,686.3
src-iaq-0001-037,2026-01-15T08:01:00Z,iaq-c-f02-east-r02,23.97,48.6,672.0
src-iaq-0001-038,2026-01-15T08:01:00Z,iaq-c-f02-west-r01,24.01,49.6,652.5
src-iaq-0001-039,2026-01-15T08:01:00Z,iaq-c-f02-west-r02,23.95,50.0,699.8
src-iaq-0001-040,2026-01-15T08:01:00Z,iaq-c-f03-east-r01,24.18,50.1,660.1
src-iaq-0001-041,2026-01-15T08:01:00Z,iaq-c-f03-east-r02,24.13,50.7,679.2
src-iaq-0001-042,2026-01-15T08:01:00Z,iaq-c-f03-west-r01,24.09,50.3,658.5
src-iaq-0001-043,2026-01-15T08:01:00Z,iaq-c-f03-west-r02,24.01,50.9,671.2
src-iaq-0001-044,2026-01-15T08:01:00Z,iaq-c-f04-east-r01,24.17,51.5,688.2
src-iaq-0001-045,2026-01-15T08:01:00Z,iaq-c-f04-east-r02,24.32,51.5,673.4
src-iaq-0001-046,2026-01-15T08:01:00Z,iaq-c-f04-west-r01,24.19,52.1,655.5
src-iaq-0001-047,2026-01-15T08:01:00Z,iaq-c-f04-west-r02,24.33,52.9,683.6
src-iaq-0002-000,2026-01-15T08:02:00Z,iaq-a-f01-east-r01,24.21,55.5,681.7
src-iaq-0002-001,2026-01-15T08:02:00Z,iaq-a-f01-east-r02,24.42,56.2,699.3
src-iaq-0002-002,2026-01-15T08:02:00Z,iaq-a-f01-west-r01,24.52,55.9,668.8
src-iaq-0002-003,2026-01-15T08:02:00Z,iaq-a-f01-west-r02,24.49,56.0,688.2
src-iaq-0002-004,2026-01-15T08:02:00Z,iaq-a-f02-east-r01,24.89,55.6,677.4
src-iaq-0002-005,2026-01-15T08:02:00Z,iaq-a-f02-east-r02,24.93,55.6,709.3
src-iaq-0002-006,2026-01-15T08:02:00Z,iaq-a-f02-west-r01,24.98,56.0,664.1
src-iaq-0002-007,2026-01-15T08:02:00Z,iaq-a-f02-west-r02,25.01,55.8,705.0
src-iaq-0002-008,2026-01-15T08:02:00Z,iaq-a-f03-east-r01,25.23,54.9,717.0
src-iaq-0002-009,2026-01-15T08:02:00Z,iaq-a-f03-east-r02,25.41,55.2,782.4
src-iaq-0002-010,2026-01-15T08:02:00Z,iaq-a-f03-west-r01,25.35,55.0,796.6
src-iaq-0002-011,2026-01-15T08:02:00Z,iaq-a-f03-west-r02,25.48,54.2,849.2
src-iaq-0002-012,2026-01-15T08:02:00Z,iaq-a-f04-east-r01,25.57,53.9,841.7
src-iaq-0002-013,2026-01-15T08:02:00Z,iaq-a-f04-east-r02,25.64,53.0,857.4
src-iaq-0002-014,2026-01-15T08:02:00Z,iaq-a-f04-west-r01,25.62,53.2,895.4
src-iaq-0002-015,2026-01-15T08:02:00Z,iaq-a-f04-west-r02,25.66,52.3,891.4
src-iaq-0002-016,2026-01-15T08:02:00Z,iaq-b-f01-east-r01,25.08,52.5,902.3
src-iaq-0002-017,2026-01-15T08:02:00Z,iaq-b-f01-east-r02,24.93,51.4,953.9
src-iaq-0002-018,2026-01-15T08:02:00Z,iaq-b-f01-west-r01,24.95,51.3,909.3
src-iaq-0002-019,2026-01-15T08:02:00Z,iaq-b-f01-west-r02,24.88,50.3,957.3
src-iaq-0002-020,2026-01-15T08:02:00Z,iaq-b-f02-east-r01,25.03,50.3,943.3
src-iaq-0002-021,2026-01-15T08:02:00Z,iaq-b-f02-east-r02,25.03,49.4,963.0
src-iaq-0002-022,2026-01-15T08:02:00Z,iaq-b-f02-west-r01,25.01,49.4,938.6
src-iaq-0002-023,2026-01-15T08:02:00Z,iaq-b-f02-west-r02,24.88,48.9,929.1
src-iaq-0002-024,2026-01-15T08:02:00Z,iaq-b-f03-east-r01,24.86,49.5,893.3
src-iaq-0002-025,2026-01-15T08:02:00Z,iaq-b-f03-east-r02,24.88,48.5,906.9
src-iaq-0002-026,2026-01-15T08:02:00Z,iaq-b-f03-west-r01,24.64,48.0,886.3
src-iaq-0002-027,2026-01-15T08:02:00Z,iaq-b-f03-west-r02,24.69,48.8,896.6
src-iaq-0002-028,2026-01-15T08:02:00Z,iaq-b-f04-east-r01,24.76,47.7,848.7
src-iaq-0002-029,2026-01-15T08:02:00Z,iaq-b-f04-east-r02,24.70,47.6,818.3
src-iaq-0002-030,2026-01-15T08:02:00Z,iaq-b-f04-west-r01,24.57,48.2,777.8
src-iaq-0002-031,2026-01-15T08:02:00Z,iaq-b-f04-west-r02,24.47,47.7,789.9
src-iaq-0002-032,2026-01-15T08:02:00Z,iaq-c-f01-east-r01,24.12,47.7,738.3
src-iaq-0002-033,2026-01-15T08:02:00Z,iaq-c-f01-east-r02,24.16,48.7,714.5
src-iaq-0002-034,2026-01-15T08:02:00Z,iaq-c-f01-west-r01,23.91,48.1,667.6
src-iaq-0002-035,2026-01-15T08:02:00Z,iaq-c-f01-west-r02,23.84,47.9,687.9
src-iaq-0002-036,2026-01-15T08:02:00Z,iaq-c-f02-east-r01,24.10,49.0,665.7
src-iaq-0002-037,2026-01-15T08:02:00Z,iaq-c-f02-east-r02,24.11,48.8,674.4
src-iaq-0002-038,2026-01-15T08:02:00Z,iaq-c-f02-west-r01,24.05,49.6,672.4
src-iaq-0002-039,2026-01-15T08:02:00Z,iaq-c-f02-west-r02,23.82,49.9,697.1
src-iaq-0002-040,2026-01-15T08:02:00Z,iaq-c-f03-east-r01,24.01,50.0,661.1
src-iaq-0002-041,2026-01-15T08:02:00Z,iaq-c-f03-east-r02,24.02,50.9,680.8
src-iaq-0002-042,2026-01-15T08:02:00Z,iaq-c-f03-west-r01,23.93,50.9,689.4
src-iaq-0002-043,2026-01-15T08:02:00Z,iaq-c-f03-west-r02,23.99,51.5,670.4
src-iaq-0002-044,2026-01-15T08:02:00Z,iaq-c-f04-east-r01,24.27,51.9,667.3
src-iaq-0002-045,2026-01-15T08:02:00Z,iaq-c-f04-east-r02,24.23,52.2,691.3
src-iaq-0002-046,2026-01-15T08:02:00Z,iaq-c-f04-west-r01,24.22,52.4,668.1
src-iaq-0002-047,2026-01-15T08:02:00Z,iaq-c-f04-west-r02,24.34,52.9,699.8
src-iaq-0003-000,2026-01-15T08:03:00Z,iaq-a-f01-east-r01,24.32,55.5,676.6
src-iaq-0003-001,2026-01-15T08:03:00Z,iaq-a-f01-east-r02,24.36,56.5,677.3
src-iaq-0003-002,2026-01-15T08:03:00Z,iaq-a-f01-west-r01,24.58,55.5,669.6
src-iaq-0003-003,2026-01-15T08:03:00Z,iaq-a-f01-west-r02,24.67,56.3,673.8
src-iaq-0003-004,2026-01-15T08:03:00Z,iaq-a-f02-east-r01,24.93,56.4,678.0
src-iaq-0003-005,2026-01-15T08:03:00Z,iaq-a-f02-east-r02,24.81,56.1,703.1
src-iaq-0003-006,2026-01-15T08:03:00Z,iaq-a-f02-west-r01,25.06,56.0,684.0
src-iaq-0003-007,2026-01-15T08:03:00Z,iaq-a-f02-west-r02,25.13,55.5,753.5
src-iaq-0003-008,2026-01-15T08:03:00Z,iaq-a-f03-east-r01,25.26,55.1,750.1
src-iaq-0003-009,2026-01-15T08:03:00Z,iaq-a-f03-east-r02,25.34,54.9,791.0
src-iaq-0003-010,2026-01-15T08:03:00Z,iaq-a-f03-west-r01,25.35,54.6,807.0
src-iaq-0003-011,2026-01-15T08:03:00Z,iaq-a-f03-west-r02,25.34,54.5,851.5
src-iaq-0003-012,2026-01-15T08:03:00Z,iaq-a-f04-east-r01,25.53,53.5,842.8
src-iaq-0003-013,2026-01-15T08:03:00Z,iaq-a-f04-east-r02,25.58,53.5,861.3
src-iaq-0003-014,2026-01-15T08:03:00Z,iaq-a-f04-west-r01,25.52,53.2,878.9
src-iaq-0003-015,2026-01-15T08:03:00Z,iaq-a-f04-west-r02,25.71,52.2,925.6
src-iaq-0003-016,2026-01-15T08:03:00Z,iaq-b-f01-east-r01,24.95,52.4,916.6
src-iaq-0003-017,2026-01-15T08:03:00Z,iaq-b-f01-east-r02,25.03,51.2,950.5
src-iaq-0003-018,2026-01-15T08:03:00Z,iaq-b-f01-west-r01,24.91,51.2,940.1
src-iaq-0003-019,2026-01-15T08:03:00Z,iaq-b-f01-west-r02,24.85,50.8,952.1
src-iaq-0003-020,2026-01-15T08:03:00Z,iaq-b-f02-east-r01,24.91,50.4,939.2
src-iaq-0003-021,2026-01-15T08:03:00Z,iaq-b-f02-east-r02,24.86,49.3,951.4
src-iaq-0003-022,2026-01-15T08:03:00Z,iaq-b-f02-west-r01,24.77,49.2,937.0
src-iaq-0003-023,2026-01-15T08:03:00Z,iaq-b-f02-west-r02,24.83,48.8,912.7
src-iaq-0003-024,2026-01-15T08:03:00Z,iaq-b-f03-east-r01,24.86,48.4,903.4
src-iaq-0003-025,2026-01-15T08:03:00Z,iaq-b-f03-east-r02,24.72,48.2,897.7
src-iaq-0003-026,2026-01-15T08:03:00Z,iaq-b-f03-west-r01,24.68,48.4,879.9
src-iaq-0003-027,2026-01-15T08:03:00Z,iaq-b-f03-west-r02,24.56,47.9,884.9
src-iaq-0003-028,2026-01-15T08:03:00Z,iaq-b-f04-east-r01,24.56,48.5,830.2
src-iaq-0003-029,2026-01-15T08:03:00Z,iaq-b-f04-east-r02,24.66,48.1,828.5
src-iaq-0003-030,2026-01-15T08:03:00Z,iaq-b-f04-west-r01,24.42,48.1,797.1
src-iaq-0003-031,2026-01-15T08:03:00Z,iaq-b-f04-west-r02,24.42,48.3,786.8
src-iaq-0003-032,2026-01-15T08:03:00Z,iaq-c-f01-east-r01,24.16,47.9,740.4
src-iaq-0003-033,2026-01-15T08:03:00Z,iaq-c-f01-east-r02,24.01,48.3,718.1
src-iaq-0003-034,2026-01-15T08:03:00Z,iaq-c-f01-west-r01,24.08,48.2,670.4
src-iaq-0003-035,2026-01-15T08:03:00Z,iaq-c-f01-west-r02,23.88,49.2,687.3
src-iaq-0003-036,2026-01-15T08:03:00Z,iaq-c-f02-east-r01,24.06,49.1,671.1
src-iaq-0003-037,2026-01-15T08:03:00Z,iaq-c-f02-east-r02,24.09,49.7,711.5
src-iaq-0003-038,2026-01-15T08:03:00Z,iaq-c-f02-west-r01,23.90,49.6,669.6
src-iaq-0003-039,2026-01-15T08:03:00Z,iaq-c-f02-west-r02,23.82,50.0,669.2
src-iaq-0003-040,2026-01-15T08:03:00Z,iaq-c-f03-east-r01,24.10,50.3,669.1
src-iaq-0003-041,2026-01-15T08:03:00Z,iaq-c-f03-east-r02,23.93,50.8,680.6
src-iaq-0003-042,2026-01-15T08:03:00Z,iaq-c-f03-west-r01,23.99,50.6,656.1
src-iaq-0003-043,2026-01-15T08:03:00Z,iaq-c-f03-west-r02,24.15,50.9,705.9
src-iaq-0003-044,2026-01-15T08:03:00Z,iaq-c-f04-east-r01,24.24,51.5,685.3
src-iaq-0003-045,2026-01-15T08:03:00Z,iaq-c-f04-east-r02,24.26,52.6,675.6
src-iaq-0003-046,2026-01-15T08:03:00Z,iaq-c-f04-west-r01,24.42,52.3,685.4
src-iaq-0003-047,2026-01-15T08:03:00Z,iaq-c-f04-west-r02,24.42,52.8,674.4
src-iaq-0004-000,2026-01-15T08:04:00Z,iaq-a-f01-east-r01,24.28,55.8,660.5
src-iaq-0004-001,2026-01-15T08:04:00Z,iaq-a-f01-east-r02,24.38,56.6,694.3
src-iaq-0004-002,2026-01-15T08:04:00Z,iaq-a-f01-west-r01,24.56,55.8,672.0
src-iaq-0004-003,2026-01-15T08:04:00Z,iaq-a-f01-west-r02,24.56,55.6,701.2
src-iaq-0004-004,2026-01-15T08:04:00Z,iaq-a-f02-east-r01,24.86,56.4,678.3
src-iaq-0004-005,2026-01-15T08:04:00Z,iaq-a-f02-east-r02,24.86,55.4,693.1
src-iaq-0004-006,2026-01-15T08:04:00Z,iaq-a-f02-west-r01,25.01,55.9,715.1
src-iaq-0004-007,2026-01-15T08:04:00Z,iaq-a-f02-west-r02,25.04,55.3,723.4
src-iaq-0004-008,2026-01-15T08:04:00Z,iaq-a-f03-east-r01,25.33,55.2,770.8
src-iaq-0004-009,2026-01-15T08:04:00Z,iaq-a-f03-east-r02,25.25,54.9,808.2
src-iaq-0004-010,2026-01-15T08:04:00Z,iaq-a-f03-west-r01,25.42,54.5,817.1
src-iaq-0004-011,2026-01-15T08:04:00Z,iaq-a-f03-west-r02,25.30,54.2,854.8
src-iaq-0004-012,2026-01-15T08:04:00Z,iaq-a-f04-east-r01,25.73,53.8,866.4
src-iaq-0004-013,2026-01-15T08:04:00Z,iaq-a-f04-east-r02,25.51,52.7,876.5
src-iaq-0004-014,2026-01-15T08:04:00Z,iaq-a-f04-west-r01,25.63,52.3,898.3
src-iaq-0004-015,2026-01-15T08:04:00Z,iaq-a-f04-west-r02,25.65,52.6,927.9
src-iaq-0004-016,2026-01-15T08:04:00Z,iaq-b-f01-east-r01,24.92,52.0,911.0
src-iaq-0004-017,2026-01-15T08:04:00Z,iaq-b-f01-east-r02,25.03,50.9,962.3
src-iaq-0004-018,2026-01-15T08:04:00Z,iaq-b-f01-west-r01,25.03,50.9,939.5
src-iaq-0004-019,2026-01-15T08:04:00Z,iaq-b-f01-west-r02,24.80,50.5,952.9
src-iaq-0004-020,2026-01-15T08:04:00Z,iaq-b-f02-east-r01,25.10,49.9,919.5
src-iaq-0004-021,2026-01-15T08:04:00Z,iaq-b-f02-east-r02,24.87,49.3,966.7
src-iaq-0004-022,2026-01-15T08:04:00Z,iaq-b-f02-west-r01,24.80,48.9,913.3
src-iaq-0004-023,2026-01-15T08:04:00Z,iaq-b-f02-west-r02,24.72,49.4,937.9
src-iaq-0004-024,2026-01-15T08:04:00Z,iaq-b-f03-east-r01,24.97,49.2,908.5
src-iaq-0004-025,2026-01-15T08:04:00Z,iaq-b-f03-east-r02,24.88,48.3,917.9
src-iaq-0004-026,2026-01-15T08:04:00Z,iaq-b-f03-west-r01,24.74,48.7,878.0
src-iaq-0004-027,2026-01-15T08:04:00Z,iaq-b-f03-west-r02,24.63,48.6,862.4
src-iaq-0004-028,2026-01-15T08:04:00Z,iaq-b-f04-east-r01,24.73,48.4,830.6
src-iaq-0004-029,2026-01-15T08:04:00Z,iaq-b-f04-east-r02,24.58,48.1,837.0
src-iaq-0004-030,2026-01-15T08:04:00Z,iaq-b-f04-west-r01,24.42,48.2,753.1
src-iaq-0004-031,2026-01-15T08:04:00Z,iaq-b-f04-west-r02,24.33,47.5,747.0
src-iaq-0004-032,2026-01-15T08:04:00Z,iaq-c-f01-east-r01,24.08,48.3,696.9
src-iaq-0004-033,2026-01-15T08:04:00Z,iaq-c-f01-east-r02,24.07,48.3,722.6
src-iaq-0004-034,2026-01-15T08:04:00Z,iaq-c-f01-west-r01,24.04,48.1,651.8
src-iaq-0004-035,2026-01-15T08:04:00Z,iaq-c-f01-west-r02,23.86,48.6,698.9
src-iaq-0004-036,2026-01-15T08:04:00Z,iaq-c-f02-east-r01,24.03,49.4,672.4
src-iaq-0004-037,2026-01-15T08:04:00Z,iaq-c-f02-east-r02,23.96,49.3,689.2
src-iaq-0004-038,2026-01-15T08:04:00Z,iaq-c-f02-west-r01,23.88,49.5,676.2
src-iaq-0004-039,2026-01-15T08:04:00Z,iaq-c-f02-west-r02,23.84,50.2,711.4
src-iaq-0004-040,2026-01-15T08:04:00Z,iaq-c-f03-east-r01,24.04,50.6,691.3
src-iaq-0004-041,2026-01-15T08:04:00Z,iaq-c-f03-east-r02,24.11,50.5,706.4
src-iaq-0004-042,2026-01-15T08:04:00Z,iaq-c-f03-west-r01,24.05,51.0,670.1
src-iaq-0004-043,2026-01-15T08:04:00Z,iaq-c-f03-west-r02,24.16,51.1,678.0
src-iaq-0004-044,2026-01-15T08:04:00Z,iaq-c-f04-east-r01,24.13,51.5,670.5
src-iaq-0004-045,2026-01-15T08:04:00Z,iaq-c-f04-east-r02,24.36,52.1,681.0
src-iaq-0004-046,2026-01-15T08:04:00Z,iaq-c-f04-west-r01,24.33,52.4,659.6
src-iaq-0004-047,2026-01-15T08:04:00Z,iaq-c-f04-west-r02,24.29,53.0,711.7
src-iaq-0005-000,2026-01-15T08:05:00Z,iaq-a-f01-east-r01,24.25,56.0,658.4
src-iaq-0005-001,2026-01-15T08:05:00Z,iaq-a-f01-east-r02,24.44,56.5,696.8
src-iaq-0005-002,2026-01-15T08:05:00Z,iaq-a-f01-west-r01,24.43,56.6,675.5
src-iaq-0005-003,2026-01-15T08:05:00Z,iaq-a-f01-west-r02,24.53,56.4,682.4
src-iaq-0005-004,2026-01-15T08:05:00Z,iaq-a-f02-east-r01,24.79,56.0,665.4
src-iaq-0005-005,2026-01-15T08:05:00Z,iaq-a-f02-east-r02,25.01,55.9,711.4
src-iaq-0005-006,2026-01-15T08:05:00Z,iaq-a-f02-west-r01,24.97,54.9,699.3
src-iaq-0005-007,2026-01-15T08:05:00Z,iaq-a-f02-west-r02,25.09,54.8,768.3
src-iaq-0005-008,2026-01-15T08:05:00Z,iaq-a-f03-east-r01,25.32,55.3,744.6
src-iaq-0005-009,2026-01-15T08:05:00Z,iaq-a-f03-east-r02,25.30,54.9,821.3
src-iaq-0005-010,2026-01-15T08:05:00Z,iaq-a-f03-west-r01,25.50,54.4,801.1
src-iaq-0005-011,2026-01-15T08:05:00Z,iaq-a-f03-west-r02,25.39,53.3,839.9
src-iaq-0005-012,2026-01-15T08:05:00Z,iaq-a-f04-east-r01,25.51,53.0,855.5
src-iaq-0005-013,2026-01-15T08:05:00Z,iaq-a-f04-east-r02,25.52,52.4,877.0
src-iaq-0005-014,2026-01-15T08:05:00Z,iaq-a-f04-west-r01,25.54,52.4,902.5
src-iaq-0005-015,2026-01-15T08:05:00Z,iaq-a-f04-west-r02,25.60,52.1,942.5
src-iaq-0005-016,2026-01-15T08:05:00Z,iaq-b-f01-east-r01,24.92,51.2,935.5
src-iaq-0005-017,2026-01-15T08:05:00Z,iaq-b-f01-east-r02,24.92,51.0,948.6
src-iaq-0005-018,2026-01-15T08:05:00Z,iaq-b-f01-west-r01,24.89,50.4,946.7
src-iaq-0005-019,2026-01-15T08:05:00Z,iaq-b-f01-west-r02,24.86,50.4,951.8
src-iaq-0005-020,2026-01-15T08:05:00Z,iaq-b-f02-east-r01,24.87,49.6,927.3
src-iaq-0005-021,2026-01-15T08:05:00Z,iaq-b-f02-east-r02,24.88,49.5,965.3
src-iaq-0005-022,2026-01-15T08:05:00Z,iaq-b-f02-west-r01,24.94,49.0,936.2
src-iaq-0005-023,2026-01-15T08:05:00Z,iaq-b-f02-west-r02,24.76,49.2,909.3
src-iaq-0005-024,2026-01-15T08:05:00Z,iaq-b-f03-east-r01,24.94,48.6,877.6
src-iaq-0005-025,2026-01-15T08:05:00Z,iaq-b-f03-east-r02,24.85,48.5,877.9
src-iaq-0005-026,2026-01-15T08:05:00Z,iaq-b-f03-west-r01,24.63,48.4,862.7
